source_key,institution_name,institution_short_name,country_code,region_code,source_name,base_url,listing_url,source_type,adapter_key,crawl_interval_minutes,language_codes,audience_hints,robots_checked_at,robots_status,terms_status,api_docs_url,rss_feed_url,contact_url,enabled,notes,config_json
src-0001,United Nations Development Programme,,XX,global,UNDP Country Offices and Calls,https://www.undp.org,https://www.undp.org/,html,src-0001_html_v1,360,en,"sme,ngo,climate,development",2026-06-25,unknown,unknown,,,,true,Country-office news and publications must be crawled separately.,"{""coverage_role"": ""primary"", ""funding_scope"": ""Development; climate; governance; civil society; innovation"", ""geographic_scope"": ""global_and_country"", ""legacy_source_id"": ""SRC-0001"", ""priority"": ""1"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""multilateral_portal""}"
src-0002,Global Environment Facility,,XX,global,GEF Funding,https://www.thegef.org,https://www.thegef.org/projects-operations/funding,html,src-0002_html_v1,720,en,"climate,environment",2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Environment; biodiversity; climate; land; chemicals"", ""geographic_scope"": ""global"", ""legacy_source_id"": ""SRC-0002"", ""priority"": ""1"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""multilateral_portal""}"
src-0003,GEF Small Grants Programme,,XX,global,SGP Country Calls,https://sgp.undp.org,https://sgp.undp.org/,html,src-0003_html_v1,360,en,"climate,environment",2026-06-25,unknown,unknown,,,,true,Country programme pages are separate sources.,"{""coverage_role"": ""primary"", ""funding_scope"": ""Community environment and climate grants"", ""geographic_scope"": ""global_and_country"", ""legacy_source_id"": ""SRC-0003"", ""priority"": ""1"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""multilateral_portal""}"
src-0004,World Bank,,XX,global,World Bank Funding and Programs,https://www.worldbank.org,https://www.worldbank.org/en/programs,html,src-0004_html_v1,1440,en,"researcher,development",2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""secondary"", ""funding_scope"": ""Development; research; infrastructure; social impact"", ""geographic_scope"": ""global"", ""legacy_source_id"": ""SRC-0004"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""multilateral_portal""}"
src-0005,World Bank,,XX,global,Development Marketplace / Calls,https://www.worldbank.org,https://www.worldbank.org/en/programs/development-marketplace,html,src-0005_html_v1,1440,en,"sme,development",2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Innovation; social enterprise; development"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0005"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""programme_portal""}"
src-0006,UNESCO,,XX,global,UNESCO Calls and Opportunities,https://www.unesco.org,https://www.unesco.org/en,html,src-0006_html_v1,720,"en,fr",education,2026-06-25,unknown,unknown,,,,true,Calls appear across sector and country pages.,"{""coverage_role"": ""primary"", ""funding_scope"": ""Education; science; culture; heritage; media"", ""geographic_scope"": ""global"", ""legacy_source_id"": ""SRC-0006"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""multilateral_portal""}"
src-0007,UNICEF,,XX,global,UNICEF Innovation Fund,https://www.unicefinnovationfund.org,https://www.unicefinnovationfund.org/,html,src-0007_html_v1,720,en,sme,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Open-source technology; child-focused innovation"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0007"", ""priority"": ""1"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""programme_portal""}"
src-0008,UN Women,,XX,global,UN Women Calls for Proposals,https://www.unwomen.org,https://www.unwomen.org/en/about-us/programme-implementation,html,src-0008_html_v1,720,en,ngo,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Gender equality; women; civil society"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0008"", ""priority"": ""1"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""multilateral_portal""}"
src-0009,FAO,,XX,global,FAO Funding and Calls,https://www.fao.org,https://www.fao.org/partnerships/en/,html,src-0009_html_v1,1440,en,development,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Agriculture; food systems; rural development"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0009"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""multilateral_portal""}"
src-0010,World Health Organization,,XX,global,WHO Calls and Grants,https://www.who.int,https://www.who.int/about/funding,html,src-0010_html_v1,1440,en,researcher,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Health; research; public health"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0010"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""multilateral_portal""}"
src-0011,United Nations Democracy Fund,,XX,global,UNDEF Project Proposals,https://www.un.org,https://www.un.org/democracyfund/content/call-project-proposals,html,src-0011_html_v1,720,en,ngo,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Democracy; civil society; human rights"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0011"", ""priority"": ""1"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""programme_portal""}"
src-0012,UN Partner Portal,,XX,global,UN Partner Portal Opportunities,https://www.unpartnerportal.org,https://www.unpartnerportal.org/landing/opportunities/,headless,src-0012_headless_v1,360,en,,2026-06-25,unknown,unknown,,,,false,,"{""coverage_role"": ""primary"", ""funding_scope"": ""UN-CSO partnership opportunities"", ""geographic_scope"": ""global"", ""legacy_source_id"": ""SRC-0012"", ""priority"": ""1"", ""requires_javascript"": true, ""requires_login"": true, ""source_category"": ""central_portal""}"
src-0013,UN Global Marketplace,,XX,global,UNGM Procurement Notices,https://www.ungm.org,https://www.ungm.org/Public/Notice,headless,src-0013_headless_v1,360,en,,2026-06-25,unknown,unknown,,,,true,Separate procurements from grants during normalization.,"{""coverage_role"": ""secondary"", ""funding_scope"": ""UN procurement and grant-like notices"", ""geographic_scope"": ""global"", ""legacy_source_id"": ""SRC-0013"", ""priority"": ""2"", ""requires_javascript"": true, ""requires_login"": false, ""source_category"": ""central_portal""}"
src-0014,International Development Research Centre,,XX,global,IDRC Funding,https://idrc-crdi.ca,https://idrc-crdi.ca/en/funding,html,src-0014_html_v1,720,en,"researcher,development",2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Research for development"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0014"", ""priority"": ""1"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""agency_portal""}"
src-0015,Wellcome Trust,,XX,global,Wellcome Funding,https://wellcome.org,https://wellcome.org/grant-funding,html,src-0015_html_v1,720,en,researcher,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Health and biomedical research"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0015"", ""priority"": ""1"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""foundation_portal""}"
src-0016,Bill & Melinda Gates Foundation,,XX,global,Grant Opportunities,https://www.gatesfoundation.org,https://www.gatesfoundation.org/about/how-we-work/grant-opportunities,html,src-0016_html_v1,1440,en,"education,development",2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Health; agriculture; development; education"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0016"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""foundation_portal""}"
src-0017,Global Innovation Fund,,XX,global,Apply for Funding,https://www.globalinnovation.fund,https://www.globalinnovation.fund/apply-for-funding,html,src-0017_html_v1,720,en,"sme,development",2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Social innovation and development"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0017"", ""priority"": ""1"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""foundation_portal""}"
src-0018,Grand Challenges,,XX,global,Grand Challenges Opportunities,https://grandchallenges.org,https://grandchallenges.org/grant-opportunities/,html,src-0018_html_v1,720,en,sme,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Health; science; innovation"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0018"", ""priority"": ""1"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""central_portal""}"
src-0019,Humanitarian Innovation Fund,,XX,global,HIF Funding Opportunities,https://www.elrha.org,https://www.elrha.org/programme/humanitarian-innovation-fund/,html,src-0019_html_v1,1440,en,sme,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Humanitarian innovation"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0019"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""foundation_portal""}"
src-0020,TÜBİTAK,,TR,turkiye,TÜBİTAK Açık Çağrılar,https://tubitak.gov.tr,https://tubitak.gov.tr/tr/acik-cagrilar,html,src-0020_html_v1,360,tr,researcher,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""detail_link_keywords"": [""çağrı"", ""cagri""], ""excluded_detail_link_keywords"": [""sonuç"", ""sonuc"", ""sonuçları"", ""sonuclari"", ""tamamlandı"", ""tamamlandi"", ""ihale"", ""satın alma"", ""satinalma"", ""kılavuz"", ""kilavuz""], ""funding_scope"": ""Academic research; industrial R&D; scholarships; science-society; international cooperation"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0020"", ""priority"": ""1"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""open_calls_portal""}"
src-0021,TÜBİTAK,,TR,turkiye,TÜBİTAK Duyuru Çağrıları,https://tubitak.gov.tr,https://tubitak.gov.tr/tr/duyuru,html,src-0021_html_v1,180,tr,researcher,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""detail_link_keywords"": [""çağrısı açıldı"", ""çağrıları açıldı"", ""başvuruya açıldı"", ""cagrisi acildi"", ""cagrilari acildi""], ""excluded_detail_link_keywords"": [""sonuç"", ""sonuc"", ""sonuçları"", ""sonuclari"", ""tamamlandı"", ""tamamlandi"", ""tanıtım"", ""seminer"", ""ihale"", ""satın alma"", ""satinalma""], ""funding_scope"": ""Calls; deadline updates; programme notices"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0021"", ""priority"": ""1"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""news_portal""}"
src-0022,Ufuk Avrupa Türkiye,,TR,turkiye,Ufuk Avrupa Çağrıları,https://ufukavrupa.org.tr,https://ufukavrupa.org.tr/tr/cagrilar,html,src-0022_html_v1,360,tr,,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Horizon Europe calls and Türkiye guidance"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0022"", ""priority"": ""1"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""programme_portal""}"
src-0023,KOSGEB,,TR,turkiye,Yürürlükte Olan Çağrılar,https://www.kosgeb.gov.tr,https://www.kosgeb.gov.tr/site/tr/genel/destekler/6304/yururlukte-olan-cagrilar,html,src-0023_html_v1,360,tr,sme,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""SME; entrepreneurship; digital and green transformation"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0023"", ""priority"": ""1"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""central_portal""}"
src-0024,Kalkınma Ajansları Genel Müdürlüğü,,TR,turkiye,Kalkınma Ajansları Destekleri,https://www.ka.gov.tr,https://www.ka.gov.tr/destekler,html,src-0024_html_v1,360,tr,development,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""26 development agencies; financial and technical support"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0024"", ""priority"": ""1"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""central_portal""}"
src-0025,Türkiye Ulusal Ajansı,,TR,turkiye,Erasmus+ ve ESC Fırsatları,https://www.ua.gov.tr,https://www.ua.gov.tr/,html,src-0025_html_v1,360,tr,education,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Education; youth; sport; mobility; solidarity"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0025"", ""priority"": ""1"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""central_portal""}"
src-0026,TÜSEB,,TR,turkiye,TÜSEB Duyurular,https://www.tuseb.gov.tr,https://www.tuseb.gov.tr/,html,src-0026_html_v1,360,tr,,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Health science and technology calls"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0026"", ""priority"": ""1"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""agency_portal""}"
